trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,13,3.67427885963773,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.8, 'e': 0.25}",20,14,-0.7372733012853099,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.8, 'e': 0.1111111111111111}",30,6,17.835233486882508,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.8, 'e': 0.0625}",25,0,-80.41037929911828,"{0: 19, 1: 0, 2: 2, 3: 4, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.04}",30,7,-6.1551800984703995,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.8, 'e': 0.027777777777777776}",25,5,13.8330220520225,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.8, 'e': 0.02040816326530612}",20,16,6.706949497150205,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.015625}",25,6,21.939094652982174,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.012345679012345678}",30,0,42.47507874930121,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.01}",20,15,8.912275181608155,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.008264462809917356}",30,4,0.49301921596404363,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.8, 'e': 0.006944444444444444}",25,18,14.99752366825911,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.005917159763313609}",30,0,31.689212930379036,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.00510204081632653}",25,0,9.003367754820852,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.0044444444444444444}",20,6,20.934134564103783,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.00390625}",25,15,15.142754583931413,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.0034602076124567475}",30,0,42.27283071558975,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.0030864197530864196}",20,8,25.964453927483532,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.002770083102493075}",30,20,18.619458131021602,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': 0.0025}",30,17,22.810480748836653,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,7,40.098133155682326,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,7,23.563924146837792,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,15,25.117405990406702,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,4,36.186066505078465,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,16,18.037010689438826,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,23.05998856109634,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,9,20.50368339891444,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,9,16.67470972522144,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,9,17.230650006736127,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,13,19.51552789154358,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
