trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",20,0,-190.06568389148083,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
2,False,"{'a': 0.9, 'e': 0.25}",20,12,-62.15259632342957,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",25,0,-23.4146564577212,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.0625}",25,0,-47.305064913003534,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.04}",25,0,-127.58024988735087,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",20,0,-75.46881185836352,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",35,9,20.201385788783732,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.9, 'e': 0.015625}",20,0,-30.243930754484477,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",25,1,23.222168803160443,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.9, 'e': 0.01}",20,9,22.397575031875743,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",20,0,24.48969956427875,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",25,0,42.46302025896497,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",25,2,-29.211219600247492,"{0: 20, 1: 0, 2: 0, 3: 3, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",20,0,16.722200790619674,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",30,8,18.49047308310267,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.00390625}",20,2,4.6764716752057,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.0034602076124567475}",30,14,-37.254077441591924,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
18,False,"{'a': 0.9, 'e': 0.0030864197530864196}",30,22,6.905914913219922,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.002770083102493075}",25,14,18.094644823410288,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.9, 'e': 0.0025}",25,17,14.813101204715924,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.9, 'e': 0.0022675736961451248}",20,10,17.3607470594928,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.002066115702479339}",20,16,5.931219064694099,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.001890359168241966}",30,22,14.368653775610731,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.9, 'e': 0.001736111111111111}",25,4,32.617407422538264,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.9, 'e': 0.0016}",20,10,12.906889101236885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.0014792899408284023}",20,7,12.471472873410882,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
