trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,20,-81.10942748362197,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.22194397434086,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.80574767920822,"{0: 7, 1: 9, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-209.56158366100965,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.076617261388,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.79429308089786,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-247.8279425323504,"{0: 18, 1: 2, 2: 10, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.17990921260667,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.57877362842248,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,7,-121.18416744623185,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.36673902650116,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.40911246964103,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,15,-0.21263940544711635,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.72012083814553,"{0: 19, 1: 5, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.94033733343028,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.30889351354782,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.10029832786168,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.80179979515339,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.69452097985197,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.22491175513827,"{0: 12, 1: 6, 2: 7, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.5779013933149,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.6118225378687,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.6460561491603,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,5,-175.13508751698123,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.42132890170939,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-244.5474621812337,"{0: 18, 1: 5, 2: 8, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.50052178288546,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.00393058686157,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.48156878465309,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-235.93610957995244,"{0: 15, 1: 1, 2: 9, 3: 2, 4: 3}",0
